,,,,Thinking about meaning and purpose of life,,,,,,
,,Often,Sometimes,Rarely Never  Not asked bythe,No answer,Don't know,Rarely,,Never,Not asked
Argentina,"1,002",34.1,38,18.1 8.9 -,0.1,0.8,18.1,8.9 -,8.9,-
Australia,"1,421",40.7,40.4,14.2 2.8 -,2,-,14.2,2.8 -,2.8,-
Canada,"2,164",46.5,35.2,12.5 4.7 -,0.4,0.7,12.5,4.7 -,4.7,-
Chile,"1,000",36.3,33.8,20.8 8.6 -,0.4,0.1,20.8,8.6 -,8.6,-
China,"1,991",27,40,21.1 10.6 -,0.5,0.7,21.1,10.6 -,10.6,-
Georgia,"1,500",72.3,19.3,6.1 0.3 -,0.3,1.7,6.1,0.3 -,0.3,-
Germany,"2,064",28.4,40.6,22.5 7.3 -,0.4,0.8,22.5,7.3 -,7.3,-
India,"2,001",24.4,31.3,19.4 8.1 -,0.2,16.6,19.4,8.1 -,8.1,-
Iraq,"2,701",42.6,33,7.5 8.0 -,4.1,4.8,7.5,8.0 -,8.0,-
Japan,"1,096",23.6,55.8,16.6 1.4 -,2.6,-,16.6,1.4 -,1.4,-
Jordan,"1,200",65.4,23.4,7.5 3.1 -,0.6,-,7.5,3.1 -,3.1,-
South Korea,"1,200",39.6,48.1,10.6 1.7 -,*,-,10.6,1.7 -,1.7,-
Mexico,"1,560",53,26,14.9 4.3 -,0.6,1.2,14.9,4.3 -,4.3,-
Moldova,"1,046",59.9,29.6,8.7 1.1 -,0.4,0.2,8.7,1.1 -,1.1,-
Morocco,"1,200",64.6,22.1,6.0 6.6 -,0.8,-,6.0,6.6 -,6.6,-
New Zealand,954,40.1,-,39.1 18.4 -,1.4,0.9,39.1,18.4 -,18.4,-
Peru,"1,500",35.7,34.6,18.1 8.8 -,2.8,-,18.1,8.8 -,8.8,-
Poland,"1,000",32.8,39,19.5 8.1 -,0.2,0.4,19.5,8.1 -,8.1,-
Romania,"1,776",51.2,32.1,11.1 3.2 -,0.3,2,11.1,3.2 -,3.2,-
Russia,"2,033",39.8,35.9,16.5 5.0 0.2,0.3,2.3,16.5,5.0 0.2,5.0,0.2
South Africa,"2,988",50.5,36,9.1 2.4 -,-,2,9.1,2.4 -,2.4,-
Spain,"1,200",16.1,47.2,27.2 8.8 0.1,0.2,0.5,27.2,8.8 0.1,8.8,0.1
Sweden,"1,003",31.1,38.4,24.1 6.2 -,0.2,-,24.1,6.2 -,6.2,-
Turkey,"1,346",48.3,40.6,8.0 2.3 -,0.7,-,8.0,2.3 -,2.3,-
Egypt,"3,051",55.8,31.7,7.2 5.0 -,0.1,0.2,7.2,5.0 -,5.0,-
United States,"1,249",34.9,41.7,16.1 3.3 3.5,0.5,-,16.1,3.3 3.5,3.3,3.5
Uruguay,"1,000",35.8,34.7,20.0 8.0 -,1.5,-,20.0,8.0 -,8.0,-
Serbia and Montenegro,"1,220",31.6,36.8,21.4 5.7 -,2.3,2.1,21.4,5.7 -,5.7,-
