Country,Total,Great deal,Quite a lot,Not asked,Don't know,Not very much,None at all
Argentina,"1,079",3.8,22.1,-,1.9,50.3,21.9
Australia,"2,048",3.8,21.3,-,1,59.2,14.7
Bulgaria,"1,072",15.2,48,-,7.8,23,5.9
Belarus,"2,092",5.7,41,-,2.4,39,11.9
Chile,"1,000",7.5,50.7,-,1,28.9,11.9
Georgia,"2,008",7.9,51.9,-,1.6,27.5,11.1
Germany,"2,026",1.1,20.4,-,1.3,60.5,16.7
India,"2,040",9.1,37.6,-,17.5,29.6,6.1
Japan,"1,054",6.3,61.8,-,3.2,26.3,2.5
South Korea,"1,249",9.8,51.2,0.2,0.2,33.2,5.4
Mexico,"2,364",10.2,38.9,-,0.4,33.7,16.8
Moldova,984,5.4,39.5,-,1,43.1,11
Nigeria,"1,996",23,32.7,4.4,0.1,30.9,8.9
Peru,"1,211",12.1,21.1,-,5,48.9,12.9
Philippines,"1,200",22.9,46.9,-,0.7,26.8,2.8
Poland,"1,153",6.8,38.5,-,3.5,43.6,7.6
Romania,"1,239",8.6,38.7,-,3.1,40,9.4
Russia,"2,040",5.7,40.1,-,2,41.3,11
South Africa,"2,935",20.2,39.1,-,4.7,27.9,7.9
Spain,"1,211",5.4,33.4,-,2,47.9,11.4
Sweden,"1,009",4.4,43.7,-,1.7,45.7,4.6
Turkey,"1,907",9.6,40.9,1,0.9,30.7,16.8
United States,"1,542",4.2,24.4,-,2.5,54.1,14.8
Uruguay,"1,000",11.7,45,-,-,28.9,14.4
Serbia,"1,280",2.9,21.5,-,3,47,25.5
Montenegro,240,10,28.7,-,5.4,39.2,16.7
